Unnamed: 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Long only,-45.14%,-52.81%,-47.39%,-50.28%,-51.80%
LSTM no SA,1695.65%,2619.40%,1415.38%,2341.44%,1188.24%
LSTM finbert,12637.41%,17396.20%,7681.93%,12523.78%,17755.49%
LSTM distilbert,2206.48%,2875.54%,3243.83%,5227.56%,3200.03%
LSTM CNN,2704.85%,2338.80%,1752.29%,2535.38%,1616.73%
