,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5
Long only,-45.135681289002804,-52.80613608354754,-47.39248964751738,-50.28448132637511,-51.80356075793667
LSTM no SA,1695.6461255667466,2619.3996854213824,1415.3839341152175,2341.4433997828924,1188.242214818855
LSTM finbert,12637.413008082956,17396.204087126556,7681.928229155738,12523.780195417135,17755.492692679207
LSTM distilbert,2206.476348760538,2875.538236405699,3243.829072157071,5227.561864332157,3200.0340184475763
LSTM CNN,2704.8535923913037,2338.797525758676,1752.2880953983479,2535.377730748107,1616.725746115065
