,label_finbert,Open,High,Low,Adj Close,Volume,label_finbert t-2,label_finbert t-3,label_finbert t-4,label_finbert t-5,Open t-2,Open t-3,Open t-4,Open t-5,High t-2,High t-3,High t-4,High t-5,Low t-2,Low t-3,Low t-4,Low t-5,Adj Close t-2,Adj Close t-3,Adj Close t-4,Adj Close t-5,Volume t-2,Volume t-3,Volume t-4,Volume t-5,Close t-1,Close t-2,Close t-3,Close t-4
0,0.0,158.47999572753906,158.72999572753906,156.11000061035156,157.42999267578125,24996300.0,2.0,2.0,2.0,1.0,155.02999877929688,174.25,178.49000549316406,178.0,157.22999572753906,175.7100067138672,179.14999389648438,178.9600067138672,151.85000610351562,172.88999938964844,175.36900329589844,176.93800354003906,153.6699981689453,174.10000610351562,177.2899932861328,178.6699981689453,28912600.0,14300600.0,14049000.0,14933100.0,157.42999267578125,153.6699981689453,174.10000610351562,177.2899932861328
1,2.0,158.47999572753906,158.72999572753906,156.11000061035156,157.42999267578125,24996300.0,0.0,2.0,2.0,2.0,158.47999572753906,155.02999877929688,174.25,178.49000549316406,158.72999572753906,157.22999572753906,175.7100067138672,179.14999389648438,156.11000061035156,151.85000610351562,172.88999938964844,175.36900329589844,157.42999267578125,153.6699981689453,174.10000610351562,177.2899932861328,24996300.0,28912600.0,14300600.0,14049000.0,157.42999267578125,157.42999267578125,153.6699981689453,174.10000610351562
2,1.0,157.5,159.36000061035156,155.5399932861328,159.30999755859375,13566900.0,2.0,0.0,2.0,2.0,158.47999572753906,158.47999572753906,155.02999877929688,174.25,158.72999572753906,158.72999572753906,157.22999572753906,175.7100067138672,156.11000061035156,156.11000061035156,151.85000610351562,172.88999938964844,157.42999267578125,157.42999267578125,153.6699981689453,174.10000610351562,24996300.0,24996300.0,28912600.0,14300600.0,159.30999755859375,157.42999267578125,157.42999267578125,153.6699981689453
3,2.0,160.63999938964844,167.36000061035156,159.57000732421875,164.02999877929688,22842900.0,1.0,2.0,0.0,2.0,157.5,158.47999572753906,158.47999572753906,155.02999877929688,159.36000061035156,158.72999572753906,158.72999572753906,157.22999572753906,155.5399932861328,156.11000061035156,156.11000061035156,151.85000610351562,159.30999755859375,157.42999267578125,157.42999267578125,153.6699981689453,13566900.0,24996300.0,24996300.0,28912600.0,164.02999877929688,159.30999755859375,157.42999267578125,157.42999267578125
4,0.0,161.33999633789062,163.0,159.2100067138672,162.05999755859375,20803700.0,2.0,1.0,2.0,0.0,160.63999938964844,157.5,158.47999572753906,158.47999572753906,167.36000061035156,159.36000061035156,158.72999572753906,158.72999572753906,159.57000732421875,155.5399932861328,156.11000061035156,156.11000061035156,164.02999877929688,159.30999755859375,157.42999267578125,157.42999267578125,22842900.0,13566900.0,24996300.0,24996300.0,162.05999755859375,164.02999877929688,159.30999755859375,157.42999267578125
5,2.0,170.11000061035156,171.0,164.36000061035156,166.97000122070312,36343500.0,0.0,2.0,1.0,2.0,161.33999633789062,160.63999938964844,157.5,158.47999572753906,163.0,167.36000061035156,159.36000061035156,158.72999572753906,159.2100067138672,159.57000732421875,155.5399932861328,156.11000061035156,162.05999755859375,164.02999877929688,159.30999755859375,157.42999267578125,20803700.0,22842900.0,13566900.0,24996300.0,166.97000122070312,162.05999755859375,164.02999877929688,159.30999755859375
6,1.0,170.0,177.5500030517578,168.57000732421875,174.60000610351562,25952500.0,2.0,0.0,2.0,1.0,170.11000061035156,161.33999633789062,160.63999938964844,157.5,171.0,163.0,167.36000061035156,159.36000061035156,164.36000061035156,159.2100067138672,159.57000732421875,155.5399932861328,166.97000122070312,162.05999755859375,164.02999877929688,159.30999755859375,36343500.0,20803700.0,22842900.0,13566900.0,174.60000610351562,166.97000122070312,162.05999755859375,164.02999877929688
7,1.0,170.0,177.5500030517578,168.57000732421875,174.60000610351562,25952500.0,1.0,2.0,0.0,2.0,170.0,170.11000061035156,161.33999633789062,160.63999938964844,177.5500030517578,171.0,163.0,167.36000061035156,168.57000732421875,164.36000061035156,159.2100067138672,159.57000732421875,174.60000610351562,166.97000122070312,162.05999755859375,164.02999877929688,25952500.0,36343500.0,20803700.0,22842900.0,174.60000610351562,174.60000610351562,166.97000122070312,162.05999755859375
8,0.0,177.22000122070312,178.5,174.88999938964844,175.24000549316406,10615700.0,1.0,1.0,2.0,0.0,170.0,170.0,170.11000061035156,161.33999633789062,177.5500030517578,177.5500030517578,171.0,163.0,168.57000732421875,168.57000732421875,164.36000061035156,159.2100067138672,174.60000610351562,174.60000610351562,166.97000122070312,162.05999755859375,25952500.0,25952500.0,36343500.0,20803700.0,175.24000549316406,174.60000610351562,174.60000610351562,166.97000122070312
9,1.0,169.69000244140625,171.49000549316406,163.83099365234375,164.5399932861328,20871500.0,0.0,1.0,1.0,2.0,177.22000122070312,170.0,170.0,170.11000061035156,178.5,177.5500030517578,177.5500030517578,171.0,174.88999938964844,168.57000732421875,168.57000732421875,164.36000061035156,175.24000549316406,174.60000610351562,174.60000610351562,166.97000122070312,10615700.0,25952500.0,25952500.0,36343500.0,164.5399932861328,175.24000549316406,174.60000610351562,174.60000610351562
